timestep,episode,return,length
50,1,-13.400654,50
100,2,-10.76167,50
150,3,-13.419624,50
200,4,-16.788496,50
250,5,-10.824104,50
300,6,-14.48185,50
350,7,-14.672641,50
400,8,-11.508726,50
450,9,-11.848994,50
500,10,-9.112125,50
550,11,-19.432873,50
600,12,-13.149131,50
650,13,-15.802345,50
700,14,-15.847333,50
750,15,-16.981931,50
800,16,-15.918468,50
850,17,-12.338827,50
900,18,-12.638606,50
950,19,-14.960704,50
1000,20,-10.066256,50
1050,21,-14.747298,50
1100,22,-16.935004,50
1150,23,-16.943257,50
1200,24,-14.06111,50
1250,25,-7.675716,50
1300,26,-7.469076,50
1350,27,-8.587185,50
1400,28,-11.117645,50
1450,29,-5.526302,50
1500,30,-11.37181,50
1550,31,-9.624272,50
1600,32,-9.069823,50
1650,33,-5.85133,50
1700,34,-9.852772,50
1750,35,-10.012478,50
1800,36,-4.736278,50
1850,37,-8.730241,50
1900,38,-7.872461,50
1950,39,-9.311698,50
2000,40,-6.741618,50
2050,41,-8.683351,50
2100,42,-10.280043,50
2150,43,-11.396338,50
2200,44,-7.9007,50
2250,45,-6.413671,50
2300,46,-8.058154,50
2350,47,-10.009275,50
2400,48,-10.31883,50
2450,49,-7.771407,50
2500,50,-7.906558,50
2550,51,-7.095939,50
2600,52,-8.879983,50
2650,53,-9.216083,50
2700,54,-5.92883,50
2750,55,-8.478612,50
2800,56,-8.462106,50
2850,57,-10.3622,50
2900,58,-10.520679,50
2950,59,-9.696517,50
3000,60,-9.657212,50
3050,61,-12.08997,50
3100,62,-12.701076,50
3150,63,-9.977313,50
3200,64,-6.764367,50
3250,65,-9.334392,50
3300,66,-7.401201,50
3350,67,-7.622349,50
3400,68,-7.628551,50
3450,69,-11.175161,50
3500,70,-6.749288,50
3550,71,-8.057784,50
3600,72,-3.398103,50
3650,73,-10.655878,50
3700,74,-7.458781,50
3750,75,-7.917807,50
3800,76,-12.958137,50
3850,77,-7.508126,50
3900,78,-12.668393,50
3950,79,-9.225594,50
4000,80,-3.79115,50
4050,81,-8.887783,50
4100,82,-7.613223,50
4150,83,-8.939771,50
4200,84,-5.228406,50
4250,85,-5.529375,50
4300,86,-8.259042,50
4350,87,-7.222598,50
4400,88,-7.790272,50
4450,89,-4.744493,50
4500,90,-9.466504,50
4550,91,-7.843016,50
4600,92,-10.795893,50
4650,93,-6.328216,50
4700,94,-5.933756,50
4750,95,-11.36697,50
4800,96,-11.703888,50
4850,97,-8.645305,50
4900,98,-6.588123,50
4950,99,-7.783097,50
5000,100,-6.629182,50
5050,101,-6.386143,50
5100,102,-8.114309,50
5150,103,-5.09586,50
5200,104,-3.668222,50
5250,105,-8.013674,50
5300,106,-5.896,50
5350,107,-8.535616,50
5400,108,-6.575547,50
5450,109,-5.119564,50
5500,110,-4.701322,50
5550,111,-4.403712,50
5600,112,-4.369288,50
5650,113,-3.934355,50
5700,114,-4.342068,50
5750,115,-10.807471,50
5800,116,-3.761508,50
5850,117,-9.872794,50
5900,118,-4.692394,50
5950,119,-4.301436,50
6000,120,-5.904783,50
6050,121,-4.708154,50
6100,122,-5.833751,50
6150,123,-3.829767,50
6200,124,-9.257897,50
6250,125,-5.084266,50
6300,126,-6.841839,50
6350,127,-8.7752,50
6400,128,-3.290452,50
6450,129,-3.624794,50
6500,130,-4.480936,50
6550,131,-6.867354,50
6600,132,-7.536532,50
6650,133,-4.857975,50
6700,134,-6.882376,50
6750,135,-3.073178,50
6800,136,-7.928437,50
6850,137,-7.81589,50
6900,138,-3.08864,50
6950,139,-5.539655,50
7000,140,-6.050153,50
7050,141,-4.780504,50
7100,142,-3.855064,50
7150,143,-9.316746,50
7200,144,-12.378443,50
7250,145,-6.662455,50
7300,146,-5.134549,50
7350,147,-8.603518,50
7400,148,-3.183137,50
7450,149,-6.877274,50
7500,150,-5.112701,50
7550,151,-4.150376,50
7600,152,-7.842529,50
7650,153,-4.903268,50
7700,154,-7.767993,50
7750,155,-5.037162,50
7800,156,-4.513099,50
7850,157,-1.930141,50
7900,158,-2.168646,50
7950,159,-4.153501,50
8000,160,-6.436467,50
