timestep,episode,return,length
50,1,-13.400654,50
100,2,-10.76167,50
150,3,-13.419624,50
200,4,-16.788496,50
250,5,-10.824104,50
300,6,-14.48185,50
350,7,-14.672641,50
400,8,-11.508726,50
450,9,-11.848994,50
500,10,-9.112125,50
550,11,-19.432873,50
600,12,-13.149131,50
650,13,-15.802345,50
700,14,-15.847333,50
750,15,-16.981931,50
800,16,-15.918468,50
850,17,-12.338827,50
900,18,-12.638606,50
950,19,-14.960704,50
1000,20,-10.066256,50
1050,21,-14.661143,50
1100,22,-16.932157,50
1150,23,-19.381413,50
1200,24,-18.395973,50
1250,25,-9.681302,50
1300,26,-9.913976,50
1350,27,-10.082684,50
1400,28,-12.17554,50
1450,29,-5.626647,50
1500,30,-11.164466,50
1550,31,-8.834687,50
1600,32,-10.054952,50
1650,33,-5.565472,50
1700,34,-7.380847,50
1750,35,-11.113158,50
1800,36,-6.514457,50
1850,37,-8.040169,50
1900,38,-6.736062,50
1950,39,-7.317481,50
2000,40,-6.484076,50
2050,41,-7.169424,50
2100,42,-10.040665,50
2150,43,-13.005794,50
2200,44,-11.116741,50
2250,45,-6.470778,50
2300,46,-7.168566,50
2350,47,-12.034841,50
2400,48,-9.511491,50
2450,49,-6.229532,50
2500,50,-9.956928,50
2550,51,-6.537572,50
2600,52,-13.969539,50
2650,53,-7.999989,50
2700,54,-6.576424,50
2750,55,-6.249168,50
2800,56,-7.46236,50
2850,57,-10.13527,50
2900,58,-10.149419,50
2950,59,-9.895751,50
3000,60,-7.525404,50
3050,61,-9.491109,50
3100,62,-12.524161,50
3150,63,-8.394458,50
3200,64,-7.110857,50
3250,65,-8.700747,50
3300,66,-6.546092,50
3350,67,-7.01581,50
3400,68,-6.289451,50
3450,69,-13.102666,50
3500,70,-8.567497,50
3550,71,-8.155269,50
3600,72,-7.227541,50
3650,73,-9.71769,50
3700,74,-6.99018,50
3750,75,-6.56486,50
3800,76,-11.477056,50
3850,77,-8.189728,50
3900,78,-14.034203,50
3950,79,-6.544206,50
4000,80,-6.313523,50
4050,81,-11.111658,50
4100,82,-9.248942,50
4150,83,-8.231225,50
4200,84,-6.091349,50
4250,85,-4.645529,50
4300,86,-8.513192,50
4350,87,-5.62265,50
4400,88,-8.308735,50
4450,89,-6.604072,50
4500,90,-10.204464,50
4550,91,-9.627875,50
4600,92,-8.445141,50
4650,93,-5.023134,50
4700,94,-7.173659,50
4750,95,-8.835538,50
4800,96,-8.525062,50
4850,97,-8.809594,50
4900,98,-6.115891,50
4950,99,-2.62275,50
5000,100,-3.482181,50
5050,101,-3.628036,50
5100,102,-8.007743,50
5150,103,-4.782815,50
5200,104,-5.429738,50
5250,105,-7.141445,50
5300,106,-5.092648,50
5350,107,-7.62514,50
5400,108,-4.052101,50
5450,109,-4.64944,50
5500,110,-4.343403,50
5550,111,-4.214266,50
5600,112,-3.472766,50
5650,113,-4.176048,50
5700,114,-3.948684,50
5750,115,-7.30274,50
5800,116,-5.151071,50
5850,117,-6.405525,50
5900,118,-3.676014,50
5950,119,-4.902132,50
6000,120,-4.466333,50
6050,121,-4.82184,50
6100,122,-5.384431,50
6150,123,-3.843413,50
6200,124,-9.626563,50
6250,125,-3.330116,50
6300,126,-5.128862,50
6350,127,-4.411111,50
6400,128,-3.429579,50
6450,129,-3.331701,50
6500,130,-3.616822,50
6550,131,-5.076744,50
6600,132,-3.605579,50
6650,133,-4.163111,50
6700,134,-9.135667,50
6750,135,-2.398688,50
6800,136,-4.836039,50
6850,137,-4.487924,50
6900,138,-5.428718,50
6950,139,-5.593064,50
7000,140,-3.913333,50
7050,141,-4.573248,50
7100,142,-6.048608,50
7150,143,-5.87438,50
7200,144,-7.226377,50
7250,145,-4.266535,50
7300,146,-6.914435,50
7350,147,-8.039144,50
7400,148,-2.452438,50
7450,149,-4.977245,50
7500,150,-5.529934,50
7550,151,-3.370326,50
7600,152,-4.895294,50
7650,153,-3.470973,50
7700,154,-4.96051,50
7750,155,-4.936635,50
7800,156,-4.983955,50
7850,157,-8.349471,50
7900,158,-2.467591,50
7950,159,-4.363351,50
8000,160,-4.874612,50
