method,metric,mean,std,n_seeds
TD3,return,-2.449215199460692,0.21127606628210868,3
TD3,final_distance,0.010518735231200485,0.003328565341855676,3
TD3,min_distance,0.0065002982478148405,0.001202332990781722,3
TD3,success,0.9888888888888889,0.01924500897298752,3
TD3,time_to_target,11.366666666666665,0.9018499505645784,3
TD3,control_effort,0.08273012441177034,0.0060967471432410904,3
TD3,length,50.0,0.0,3
DDPG,return,-2.4005698561691826,0.0929077737080292,3
DDPG,final_distance,0.01016142629078165,0.0018769432721847273,3
DDPG,min_distance,0.0059074067228605046,0.0015193800823365055,3
DDPG,success,1.0,0.0,3
DDPG,time_to_target,10.688888888888888,0.5189019746149163,3
DDPG,control_effort,0.08472187735166194,0.0036499780474526767,3
DDPG,length,50.0,0.0,3
random,return,-12.815116300315191,0.9324813841276747,3
random,final_distance,0.1693086936509988,0.014686822437205104,3
random,min_distance,0.06289875198745896,0.015943142446240652,3
random,success,0.07777777777777778,0.03849001794597505,3
random,time_to_target,23.8010582010582,1.7333343023816505,3
random,control_effort,0.6602376689727146,0.011189940373780865,3
random,length,50.0,0.0,3
